Editor,Status,,Act,Code,Div,Chapter,#,Text of Statute,Breakdown,Date Logged,Logger,Summary
,,,,,,,(c)(2)(A)-(E),"(A) The department shall establish a program for the identification of permitted cannabis plants at a cultivation site during the cultivation period. A unique identifier shall be issued for each cannabis plant. The department shall ensure that unique identifiers are issued as quickly as possible to ensure the implementation of this division. The unique identifier shall be attached at the base of each plant or as otherwise required by law or regulation; (B) Unique identifiers shall only be issued to those persons appropriately licensed by this section; (C) Information associated with the assigned unique identifier and licensee shall be included in the trace and track program specified in Section 26067; (D) The department may charge a fee to cover the reasonable costs of issuing the unique identifier and monitoring, tracking, and inspecting each cannabis plant; (E) The department may promulgate regulations to implement this section.","(A) The Department will establish the identifier program during the cultivation period and issue them as quickly as possible, each permitted plant will receive an identifier to be attached to its base (or as otherwise required by law); (B) You need a cultivation license to receive unique identifiers; (C) Info associated with unique identifiers will be included in the track and trace program; (D) The Department may charge a fee to cover the costs of issuing unique identifiers, monitoring, tracking, and plant inspection; (E) The Department may create regulations to implement track and trace.",,,
,,,,,,,(c)(3),The department shall take adequate steps to establish protections against fraudulent unique identifiers and limit illegal diversion of unique identifiers to unlicensed persons.,The department will take steps to ensure identifiers go to the correct licensed party and prevent use of fake identifiers.,,,
,,,,,,,(d),"A city, county, or city and county may administer unique identifiers and associated identifying information but a city, county, or city and county’s identifiers shall not supplant the department’s track and trace program.","Cities and/or counties can implement their own unique identifiers, but they cannot replace the State program.",,,
,,,,,,,(e)(1)-(2),(1) This section does not apply to the cultivation of cannabis in accordance with Section 11362.1 of the Health and Safety Code or the Compassionate Use Act; (2) Subdivision (b) does not apply to persons or entities licensed under subdivision (b) of Section 26070.5.,"(1) You’re not subject to track and trace requirements if cultivating only 6 or less plants for adult use, or are cultivating as patient/caregiver for medicinal use. SEE HSC §§ 11362.1, 11362.5(d); (2) Licensed non-profit cultivators need don’t need a license from the Department to cultivate. SEE PBC §§ 26069(b), 26070.5(b).",,,
,,,,,,,,,,,,
,,Cooperative Agreements with Law Enforcement,,BPC,10,6.5,26069.1,,,,,
,,,,,,,,"The secretary may enter into a cooperative agreement with a county agricultural commissioner or other state or local agency to assist the department in implementing the provisions of this division related to administration, investigation, inspection, fee collection, document management, education and outreach, distribution of individual licenses approved by the secretary, and technical assistance pertaining to the cultivation of cannabis. The department shall pay compensation under a cooperative agreement from fees collected and deposited pursuant to this division and shall provide reimbursement to a county agricultural commissioner, state, or local agency for associated costs. The secretary shall not delegate through a cooperative agreement, or otherwise, its authority to issue cultivation licenses to a county agricultural commissioner, local agency, or another state  agency. The secretary shall provide notice of any cooperative agreement entered into pursuant to this section to other relevant state agencies involved in the regulation of cannabis cultivation. No cooperative agreement under this section shall relieve the department of its obligations under paragraph (2) of subdivision (a) of Section 26012 to administer the provisions of this division related to, and associated with, the cultivation of cannabis.","The Secretary can enter into cooperative agreements with other state or local agencies to implement track and trace, will pay agree price and not associated costs. However, the Secretary cannot delegate its authority to issue licenses and must provide notice of any cooperative agreement made to other agencies regulating cannabis cultivation. No such agreement relieves the Department of its duties. SEE BPC § 26012(a)(2).",,,
,,,,,,,,,,,,
,,Definitions,,BCP,10,6.5,26069.9,,,,,
,,,,,,,(a),“Department” means the Department of Food and Agriculture.,“Department” means the Department of Food and Agriculture.,,,
,,,,,,,(b),"""Sectretary"" means the Secretary of Food and Agriculture.","""Sectretary"" means the Secretary of Food and Agriculture.",,,
,,,,,,,,,,,,
,,Administrative,,,,,,,,,,
,,,,,,,,,,,,
,,Track and Trace																										,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,Tax,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,Records,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,Annual Reports / Performance Audit,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,Funding,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
BTV,,Delivery,,,,,,,,,,
,,,,,,,,,,,,
,,Delivery (All),MAUCRSA,BPC,10,9,26090,,,,,"(1) Only licensed retailers, microbusinesses, or specified non-profits may make cannabis deliveries; (2) Cannabis deliveries may be made on ALL public roads regardless of local laws; (3) Employees Making Deliveries Must: (a) Carry a copy of their employer’s current license, a photo ID, and the delivery request, (b) Treat the delivery request like confidential medical information, and (c) Present the license, photo ID, and deliver order when prompted by law enforcement or licensing authority agents; (4) Customers Receiving Deliveries Must: Keep a physical or electronic copy of their deliver order and present it to law enforcement or licensing authority agents when prompted."
,,Businesses Licensed to Make Deliveries,,,,,26090(a),,,,,
,,,,,,,,"(a) Deliveries, as defined in this division, may only be made by a licensed retailer or microbusiness, or a licensed nonprofit under Section 26070.5.","Deliveries can only be made by licensed retailers, microbusinesses, or non-profits (under specific conditions). SEE BPC § 26070.5.",06/01/19,BTV,
,,,,,,,,,,,,
,,Obligations of Delivery People,,,,,26090(b)-(c),,,,,
,,,,,,,,"(b) All employees of a retailer, microbusiness, or nonprofit delivering cannabis or cannabis products shall carry a copy of the licensee’s current license and a government-issued identification with a photo of the employee, such as a driver’s license. The employee shall present that license and identification upon request to state and local law enforcement, employees of regulatory authorities, and other state and local agencies enforcing this division.",Employees of delivery-licensed businesses must carry a copy of their employer’s current license and their own photo ID when making deliveries. They must present both when prompted by law enforcement or regulatory agents.,06/01/19,BTV,
,,,,,,,,"(c) During delivery, the licensee shall maintain a copy of the delivery request and shall make it available upon request of the licensing authority and law enforcement officers. The delivery request documentation shall comply with state and federal law regarding the protection of confidential medical information.","Employees must keep a copy of the delivery order when making deliveries, though it must be kept confidential as medical information. Employees must provide the delivery order when prompted by law enforcement or the licensing authorities.",06/01/19,BTV,
,,,,,,,,,,,,
,,Obligations of Customers Receiving Deliveries,,,,,26090(d),,,,,
,,,,,,,,(d) A customer requesting delivery shall maintain a physical or electronic copy of the delivery request and shall make it available upon request by the licensing authority and law enforcement officers.,Customers placing delivery orders must keep a copy (physical or electronic) of their order and provide it when prompted by law enforcement or the licensing authorities.,06/01/19,BTV,
,,,,,,,,,,,,
,,Where Deliveries Are Permissible,,,,,26090(e),,,,,
,,,,,,,,(e) A local jurisdiction shall not prevent delivery of cannabis or cannabis products on public roads by a licensee acting in compliance with this division and local law as adopted under Section 26200.,Local jurisdictions cannot prevent cannabis deliveries on public roads despite their ability to regulate cannabis under local control laws. SEE BPC § 26200.,06/01/19,BTV,
,,,,,,,,,,,,
"
MDH",,Advertising and Marketing,,,,,,,,,,
,,Definitions ,MAUCRSA,BPC ,10,Chapter 15,26150,"(a) “Advertise” means the publication or dissemination of an advertisement.
(b) “Advertisement” includes any written or verbal statement, illustration, or depiction which is calculated to induce sales of cannabis or cannabis products, including any written, printed, graphic, or other material, billboard, sign, or other outdoor display, public transit card, other periodical literature, publication, or in a radio or television broadcast, or in any other media; except that such term shall not include:
(1) Any label affixed to any cannabis or cannabis products, or any individual covering, carton, or other wrapper of that container that constitutes a part of the labeling under provisions of this division.
(2) Any editorial or other reading material, such as a news release, in any periodical or publication or newspaper for the publication of which no money or valuable consideration is paid or promised, directly or indirectly, by any licensee, and which is not written by or at the direction of the licensee.
(c) “Advertising sign” is any sign, poster, display, billboard, or any other stationary or permanently affixed advertisement promoting the sale of cannabis or cannabis products which are not cultivated, manufactured, distributed, or sold on the same lot.
(d) “Health-related statement” means any statement related to health, and includes statements of a curative or therapeutic nature that, expressly or by implication, suggest a relationship between the consumption of cannabis or cannabis products and health benefits, or effects on health.
(e) “Market” or “Marketing” means any act or process of promoting or selling cannabis or cannabis products, including, but not limited to, sponsorship of sporting events, point-of-sale advertising, and development of products specifically designed to appeal to certain demographics.",,,,
,,Conditions and Requirements ,,,,,,,,,,
,,,,,,,26151,"(a) 
(1) All advertisements and marketing shall accurately and legibly identify the licensee responsible for its content, by adding, at a minimum, the licensee’s license number.
(2) A technology platform shall not display an advertisement by a licensee on an Internet Web page unless the advertisement displays the license number of the licensee.
(3) An outdoor advertising company subject to the Outdoor Advertising Act (Chapter 2 (commencing with Section 5200) of Division 3) shall not display an advertisement by a licensee unless the advertisement displays the license number of the licensee.
(b) Any advertising or marketing placed in broadcast, cable, radio, print, and digital communications shall only be displayed where at least 71.6 percent of the audience is reasonably expected to be 21 years of age or older, as determined by reliable, up-to-date audience composition data.
(c) Any advertising or marketing involving direct, individualized communication or dialogue controlled by the licensee shall utilize a method of age affirmation to verify that the recipient is 21 years of age or older before engaging in that communication or dialogue controlled by the licensee. For purposes of this section, that method of age affirmation may include user confirmation, birth date disclosure, or other similar registration method.
(d) All advertising shall be truthful and appropriately substantiated.",,,,
,,,,,,,26152,"A licensee shall not do any of the following:
(a) Advertise or market in a manner that is false or untrue in any material particular, or that, irrespective of falsity, directly, or by ambiguity, omission, or inference, or by the addition of irrelevant, scientific, or technical matter, tends to create a misleading impression.
(b) Publish or disseminate advertising or marketing containing any statement concerning a brand or product that is inconsistent with any statement on the labeling thereof.
(c) Publish or disseminate advertising or marketing containing any statement, design, device, or representation which tends to create the impression that the cannabis originated in a particular place or region, unless the label of the advertised product bears an appellation of origin, and such appellation of origin appears in the advertisement.
(d) Advertise or market on a billboard or similar advertising device located on an Interstate Highway or on a State Highway which crosses the California border.
(e) Advertise or market cannabis or cannabis products in a manner intended to encourage persons under 21 years of age to consume cannabis or cannabis products.
(f) Publish or disseminate advertising or marketing that is attractive to children.
(g) Advertise or market cannabis or cannabis products on an advertising sign within 1,000 feet of a day care center, school providing instruction in kindergarten or any grades 1 to 12, inclusive, playground, or youth center.
(h) Publish or disseminate advertising or marketing while the licensee’s license is suspended.",(a) Can't advertise or market in a way that creates a misleading impression. (b) Can't publish or disseminate something with info different from what is on the cannibis label. (c) Can't publish or disseminate info that something is from a particular region without official designation. (d) Can't adverstise or market on a billboard on interstate or state highway. (e) Can't use billboard or similar device to intend to market to someone under 21 years of age. (f) Can't publish or spread advertising that attractive to children. (g) Can't advertise or market cannibis within 1000 feet of a daycare or school (up to grade 12). (h) Can't publish or spread advertisement material when license is suspended,06/24/2019,,
,,Prohibition against Giving Away Cannibis ,,,,,,,,,,
,,,,,,,26153,"A licensee shall not give away any amount of cannabis or cannabis products, or any cannabis accessories, as part of a business promotion or other commercial activity.",Promotion cannot include giving away cannibis or any related accessories,06/24/2019,,
,,Health Related Statements ,,,,,,,,,,
,,,,,,,26154,A licensee shall not include on the label of any cannabis or cannabis product or publish or disseminate advertising or marketing containing any health-related statement that is untrue in any particular manner or tends to create a misleading impression as to the effects on health of cannabis consumption.,"Can't publish or disseminate adverstisemnt including false or misleading claims on health benefits of cannibis product, or put such info on the label",06/24/2019,,
,,Non-commerial Speech ,,,,,,,,,,
,,,,,,,26155,"(a) The provisions of subdivision (g) of Section 26152 shall not apply to the placement of advertising signs inside a licensed premises and which are not visible by normal unaided vision from a public place, provided that such advertising signs do not advertise cannabis or cannabis products in a manner intended to encourage persons under 21 years of age to consume cannabis or cannabis products.
(b) This chapter does not apply to any noncommercial speech.",The provisions of this chapter does not apply to non-commericial speech. The truth requirement does not apply to signs inside a licensed facility that are not visible from outside,06/24/2019,,
,,Advertising Display Requirements ,,,,,,,,,,
,,,,,,,26156,"The requirements of Section 5272 apply to this division.",Provides list of advertisemens and signs for which the rules do not apply ,06/24/2019,,
,,Product Safety ,,,,,,,,,,
,,,,,,,,,,,,
,,Testing Laboratories,,,,,,,,,,
,,Testing labs can only be licensed for testing,MAUCRSA,BPC,10,Chapter 5,26053(b),"(b) A person that holds a state testing laboratory license under this division is prohibited from licensure for any other activity, except testing, as authorized under this division. A person that holds a state testing laboratory license shall not employ an individual who is also employed by any other licensee that does not hold a state testing laboratory license.","Testing lab licenses need to be siloed from other types of licenses. If you get a testing lab license, you can't have any other type of license, like cultivation or retail. You cannot hire employees that are also employed for businesses with other types of licenses. ",03/16/2018,,
,,,,,,,,,,03/16/2018,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
CD,,"Quality Assurance, Inspection, Testing",,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
CD,,Packaging and Labeling,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,Environmental,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,Criminal Law,,,,,,,,,,
,,,,,,,,,,,,
,,Criminal Offenses and Penalities,Uniform Controlled Substances Act,HSC,10,6,11357-11362.9,,,,,
,,Possession,,,,,,,,03/16/2019,,
,,     Possession limits,,,,,11357(a),"(a) Except as authorized by law, possession of not more than 28.5 grams of cannabis, or not more than eight grams of concentrated cannabis, or both, shall be punished or adjudicated as follows:
(1) Persons under 18 years of age are guilty of an infraction and shall be required to:
(A) Upon a finding that a first offense has been committed, complete four hours of drug education or counseling and up to 10 hours of community service over a period not to exceed 60 days.
(B) Upon a finding that a second offense or subsequent offense has been committed, complete six hours of drug education or counseling and up to 20 hours of community service over a period not to exceed 90 days.
(2) Persons at least 18 years of age but less than 21 years of age are guilty of an infraction and punishable by a fine of not more than one hundred dollars ($100).",,03/16/2019,,
,,     Possession penalties,,,,,11357(b),"(b) Except as authorized by law, possession of more than 28.5 grams of cannabis, or more than eight grams of concentrated cannabis, shall be punished as follows:
(1) Persons under 18 years of age who possess more than 28.5 grams of cannabis or more than eight grams of concentrated cannabis, or both, are guilty of an infraction and shall be required to:
(A) Upon a finding that a first offense has been committed, complete eight hours of drug education or counseling and up to 40 hours of community service over a period not to exceed 90 days.
(B) Upon a finding that a second or subsequent offense has been committed, complete 10 hours of drug education or counseling and up to 60 hours of community service over a period not to exceed 120 days.
(2) Persons 18 years of age or older who possess more than 28.5 grams of cannabis, or more than eight grams of concentrated cannabis, or both, shall be punished by imprisonment in a county jail for a period of not more than six months or by a fine of not more than five hundred dollars ($500), or by both that fine and imprisonment.",,03/16/2019,,
,,     School possession penalities (adults),,,,,11357(c),"(c) Except as authorized by law, a person 18 years of age or older who possesses not more than 28.5 grams of cannabis, or not more than eight grams of concentrated cannabis, upon the grounds of, or within, any school providing instruction in kindergarten or any of grades 1 to 12, inclusive, during hours the school is open for classes or school-related programs is guilty of a misdemeanor and shall be punished as follows:
(1) A fine of not more than two hundred fifty dollars ($250), upon a finding that a first offense has been committed.
(2) A fine of not more than five hundred dollars ($500), or by imprisonment in a county jail for a period of not more than 10 days, or both, upon a finding that a second or subsequent offense has been committed.
",,03/16/2019,,
,,     School possession penalities (minors),,,,,11357(d),"(d) Except as authorized by law, a person under 18 years of age who possesses not more than 28.5 grams of cannabis, or not more than eight grams of concentrated cannabis, upon the grounds of, or within, any school providing instruction in kindergarten or any of grades 1 to 12, inclusive, during hours the school is open for classes or school-related programs is guilty of an infraction and shall be punished in the same manner provided in paragraph (1) of subdivision (b).",,03/16/2019,,
,,Synethetic cannabis prohibited,,,,,11357.5(a)-(c),"(a) Every person who sells, dispenses, distributes, furnishes, administers, or gives, or offers to sell, dispense, distribute, furnish, administer, or give, or possesses for sale any synthetic cannabinoid compound, or any synthetic cannabinoid derivative, to any person, is guilty of a misdemeanor, punishable by imprisonment in a county jail not to exceed six months, or by a fine not to exceed one thousand dollars ($1,000), or by both that fine and imprisonment.
(b) Every person who uses or possesses any synthetic cannabinoid compound, or any synthetic cannabinoid derivative, is guilty of a public offense, punishable as follows:
(1) A first offense is an infraction punishable by a fine not exceeding two hundred fifty dollars ($250).
(2) A second offense is an infraction punishable by a fine not exceeding two hundred fifty dollars ($250) or a misdemeanor punishable by imprisonment in a county jail not exceeding six months, a fine not exceeding five hundred dollars ($500), or by both that fine and imprisonment.
(3) A third or subsequent offense is a misdemeanor punishable by imprisonment in a county jail not exceeding six months, or by a fine not exceeding one thousand dollars ($1,000), or by both that fine and imprisonment.
(c) As used in this section, the term “synthetic cannabinoid compound” refers to any of the following substances or an analog of any of the following substances: [see code for full language]",Possession or distribution of any kind of synthetic cannabis is illegal.,03/16/2019,,
,,Cultivation,,,,,,,,,,
,,     6 plant limit,,,,,,,,,,
,,     cultivation penalties (adults),,,,,,,,,,
,,     cultivation penalties (minors),,,,,11358(a),"(a) Each person under the age of 18 who plants, cultivates, harvests, dries, or processes any cannabis plants shall be punished in the same manner provided in paragraph (1) of subdivision (b) of Section 11357, which requires (1) Persons under 18 years of age who possess more than 28.5 grams of cannabis or more than eight grams of concentrated cannabis, or both, are guilty of an infraction and shall be required to:
(A) Upon a finding that a first offense has been committed, complete eight hours of drug education or counseling and up to 40 hours of community service over a period not to exceed 90 days.
(B) Upon a finding that a second or subsequent offense has been committed, complete 10 hours of drug education or counseling and up to 60 hours of community service over a period not to exceed 120 days.","If you are under 18 and cultivate a cannabis plant, that is an infraction. Penalities for a first offense are 8 hours of drug education and up to 40 hours of community service.",03/16/2019,,
